id;topic;date_repetition;date_created;date_modified;date_deleted;tutor_id;subject_id
1;Integrals;2021-03-25T03:44:11;2021-03-25T01:43:40;2021-03-25T04:43:04;null;1;1
2;WW2;2021-03-24T18:17:53;2021-03-25T01:50:33;2021-03-25T02:10:23;null;1;1
3;Derivated;2021-03-25T07:24:40;2021-03-25T08:00:46;2021-03-24T12:55:37;null;1;1
4;Java Programming;2021-03-25T07:35:24;2021-03-24T13:24:58;2021-03-24T21:03:53;null;3;3
5;Globalization;2021-03-25T02:39:42;2021-03-24T08:44:41;2021-03-24T21:40:02;null;2;2
6;Romans;2021-03-24T12:06:04;2021-03-24T18:45:30;2021-03-24T14:31:40;null;4;4
7;Planets;2021-03-25T00:38:03;2021-03-24T23:49:43;2021-03-24T10:43:24;null;3;3
8;Africa;2021-03-25T00:42:02;2021-03-25T06:12:31;2021-03-25T07:40:26;null;1;1
9;Deep Learning;2021-03-24T12:31:29;2021-03-24T09:11:36;2021-03-24T09:51:25;null;2;2
10;2 variables functions;2021-03-24T23:24:49;2021-03-25T02:41:54;2021-03-24T11:46:11;null;1;1
