id;name;description;image_url;date_created;date_modified;date_deleted
1;Math;Math;https://image.freepik.com/free-vector/math-background_23-2148147194.jpg;2021-03-31T00:14:44;2021-03-31T03:58:36;2021-03-30T17:07:33
2;Physics;Physics;https://media.gettyimages.com/vectors/atomic-research-drawing-on-the-board-vector-id636391298?s=612x612;2021-03-31T07:13:42;2021-03-30T16:45:26;2021-03-30T11:02:33
3;Information Technology;Information Technology;https://i0.wp.com/marketbusinessnews.com/wp-content/uploads/2018/11/Information-Technology-thumbnail.jpg?fit=509%2C267&ssl=1&resize=1200%2C675;2021-03-30T17:16:00;2021-03-30T21:57:42;2021-03-31T00:08:51
4;Music;Music;https://lh3.googleusercontent.com/proxy/LEI45nhp8BorM_R0gJMePmqbi5B3gNMWwnzjzFuoFpgdJn5I4aDaQ9VEMpfXGJt_ZeSgHSD-l9PQL6v0RQ6rTf8RU4EA-ti2g7vYaPJI7Jt_ueS-u79eJlzqnGnL0yxokQlZJWFXZOc;2021-03-30T12:52:57;2021-03-31T08:33:03;2021-03-31T04:43:11
5;Art;Art;https://lh6.ggpht.com/HlgucZ0ylJAfZgusynnUwxNIgIp5htNhShF559x3dRXiuy_UdP3UQVLYW6c=s1200;2021-03-31T04:30:34;2021-03-31T00:24:09;2021-03-30T16:24:33
6;English;English;https://bnu.edu.iq/sites/default/files/2019-08/bnu%20english.jpg;2021-03-30T22:37:28;2021-03-30T23:36:19;2021-03-30T22:05:45
7;Italian;Italian;https://www.17-minute-languages.com/grafik/Flaggen2/italienisch-300x200-09.png;2021-03-30T13:24:35;2021-03-30T20:12:37;2021-03-30T16:34:13
8;Biology;Biology;https://cdn5.vectorstock.com/i/1000x1000/46/09/biology-science-education-concept-poster-in-vector-10554609.jpg;2021-03-30T14:25:11;2021-03-30T22:48:25;2021-03-31T04:49:01
9;Law;Law;https://www.acquisition-international.com/wp-content/uploads/2019/12/Kettani-Law-Firm-1.jpg;2021-03-30T15:04:39;2021-03-30T18:14:05;2021-03-30T14:58:26
10;History;History;https://cms.studyinsweden.se//app/uploads/2016/02/1123676.jpg;2021-03-31T00:01:48;2021-03-30T10:17:06;2021-03-31T03:05:30
