id;name;description;date_created;date_modified;date_deleted;subject_id
1;Derivates;Derivates;2021-04-30T12:54:20;2021-04-30T04:59:34;null;1
2;Integrals;Integrals;2021-04-30T04:51:09;2021-04-30T05:34:55;null;1
3;Dynamics;Dynamics;2021-04-30T07:46:09;2021-04-29T21:15:40;null;2
4;Nuclear;Nuclear;2021-04-30T16:22:10;2021-04-30T14:49:17;null;2
5;Deep Learning;Deep Learning;2021-04-30T17:38:52;2021-04-29T22:18:03;null;3
6;Computer Vision;Computer Vision;2021-04-30T11:02:34;2021-04-30T04:08:27;null;3
7;Violin;Violin;2021-04-29T20:57:58;2021-04-30T09:27:32;null;4
8;Piano;Piano;2021-04-30T01:28:43;2021-04-30T14:33:45;null;4
9;Cubism;Cubism;2021-04-30T02:36:52;2021-04-30T07:05:48;null;5
10;Neo-Realism;Neo-Realism;2021-04-30T19:28:12;2021-04-30T07:07:19;null;5
